,runId,trId,value,timestamp,writeTime
68,1.0,14.0,10.0,1602972062.9980521,1602972062.998202
69,1.0,15.0,3.0,1602972065.6979532,1602972065.698111
70,1.0,16.0,10.0,1602972068.3979542,1602972068.398105
71,1.0,17.0,5.0,1602972071.0982223,1602972071.0985036
72,1.0,18.0,8.0,1602972073.798548,1602972073.7989693
73,1.0,19.0,8.0,1602972076.5983589,1602972076.5987995
74,1.0,20.0,5.0,1602972079.3081923,1602972079.3084776
75,1.0,21.0,5.0,1602972081.9985828,1602972081.99907
76,1.0,22.0,9.0,1602972084.6983924,1602972084.698653
77,1.0,23.0,1.0,1602972087.3985672,1602972087.3990295
78,1.0,24.0,9.0,1602972090.1969936,1602972090.1972535
79,1.0,,,1602976810.067333,1602976810.0678177
80,1.0,14.0,0.0,1602976913.9732125,1602976913.9733822
81,1.0,15.0,3.0,1602976915.6991646,1602976915.6993246
82,1.0,16.0,39.0,1602976918.453213,1602976918.4533756
83,1.0,17.0,24.0,1602976920.1998835,1602976920.2000422
84,1.0,18.0,0.0,1602976921.9998693,1602976922.0000303
85,1.0,19.0,69.0,1602976923.7833085,1602976923.7834682
86,1.0,20.0,18.0,1602976926.541256,1602976926.5414312
87,1.0,21.0,17.0,1602976928.3156974,1602976928.3158698
88,1.0,22.0,52.0,1602976930.016913,1602976930.0170865
89,1.0,23.0,41.0,1602976931.7192338,1602976931.719335
90,1.0,24.0,36.0,1602976934.4384081,1602976934.4385092
91,1.0,25.0,46.0,1602976936.181592,1602976936.1816986
92,1.0,26.0,72.0,1602976937.9306343,1602976937.9309947
93,1.0,27.0,37.0,1602976940.5760095,1602976940.5762918
94,1.0,28.0,79.0,1602976942.322092,1602976942.3225396
95,2.0,,,1602977178.4378297,1602977178.4381683
96,2.0,,,1602978184.8203354,1602978184.8204439
97,2.0,14.0,36.0,1602978231.7534692,1602978231.7536376
98,2.0,15.0,11.0,1602978233.5281966,1602978233.5283203
99,2.0,16.0,65.0,1602978235.3293638,1602978235.3294685
100,2.0,17.0,46.0,1602978237.0965621,1602978237.0966673
101,2.0,18.0,27.0,1602978239.7982705,1602978239.7984378
102,2.0,19.0,21.0,1602978241.489424,1602978241.4895267
103,2.0,20.0,6.0,1602978243.244172,1602978243.2442741
104,2.0,21.0,32.0,1602978244.9264555,1602978244.9265604
105,2.0,22.0,24.0,1602978247.647499,1602978247.647663
106,2.0,23.0,0.0,1602978249.4046192,1602978249.4047842
107,2.0,24.0,23.0,1602978251.1917682,1602978251.1918714
108,2.0,25.0,34.0,1602978253.0775433,1602978253.0777159
109,2.0,26.0,19.0,1602978255.843208,1602978255.8433726
110,2.0,27.0,82.0,1602978257.5799093,1602978257.5800872
111,2.0,28.0,55.0,1602978259.2264922,1602978259.2266643
112,2.0,29.0,35.0,1602978260.8963013,1602978260.896468
113,2.0,30.0,69.0,1602978263.658622,1602978263.6587946
114,2.0,31.0,37.0,1602978265.426575,1602978265.4267497
115,2.0,32.0,9.0,1602978267.189815,1602978267.1899185
116,2.0,33.0,100.0,1602978268.9053433,1602978268.9055114
117,2.0,34.0,45.0,1602978271.688225,1602978271.6883302
118,2.0,35.0,39.0,1602978273.3120072,1602978273.3121147
119,2.0,36.0,31.0,1602978275.1143093,1602978275.1145182
120,2.0,37.0,67.0,1602978277.8416986,1602978277.842166
121,2.0,38.0,40.0,1602978279.546812,1602978279.5470889
122,2.0,,,1602978478.7431588,1602978478.7433295
123,2.0,14.0,57.0,1602978536.577197,1602978536.5773666
124,2.0,15.0,0.0,1602978538.3628082,1602978538.3629727
125,2.0,16.0,19.0,1602978541.0688033,1602978541.0689435
126,2.0,17.0,16.0,1602978542.8300292,1602978542.8301625
127,2.0,18.0,44.0,1602978544.5349374,1602978544.5350394
128,2.0,19.0,0.0,1602978547.2034621,1602978547.2035646
129,2.0,20.0,0.0,1602978548.7981927,1602978548.7982976
130,2.0,21.0,7.0,1602978550.4864087,1602978550.4865742
131,2.0,22.0,13.0,1602978553.1386588,1602978553.138762
132,2.0,23.0,60.0,1602978554.809397,1602978554.809563
133,2.0,24.0,0.0,1602978556.4651487,1602978556.465252
134,2.0,25.0,6.0,1602978559.2392745,1602978559.2393785
135,2.0,26.0,0.0,1602978560.8337817,1602978560.8339655
136,2.0,27.0,0.0,1602978562.5813591,1602978562.5815263
137,2.0,28.0,0.0,1602978564.2783291,1602978564.2784302
138,2.0,29.0,0.0,1602978566.9585683,1602978566.9587328
139,2.0,30.0,19.0,1602978568.6659863,1602978568.666096
140,2.0,31.0,0.0,1602978570.3419056,1602978570.3420644
141,2.0,32.0,0.0,1602978572.987796,1602978572.9879637
142,2.0,33.0,8.0,1602978574.612211,1602978574.6123135
143,2.0,34.0,18.0,1602978576.3071067,1602978576.3072715
144,2.0,35.0,44.0,1602978579.0076463,1602978579.0078063
145,2.0,36.0,2.0,1602978580.760384,1602978580.760554
146,2.0,37.0,57.0,1602978582.5261111,1602978582.5262718
147,2.0,38.0,62.0,1602978585.2021217,1602978585.2022245
148,2.0,39.0,62.0,1602978587.1013482,1602978587.1015115
149,2.0,40.0,38.0,1602978588.8242555,1602978588.8243604
150,2.0,41.0,19.0,1602978590.527103,1602978590.5272663
151,2.0,42.0,25.0,1602978593.2613602,1602978593.261467
152,2.0,43.0,39.0,1602978595.0419307,1602978595.0420985
153,2.0,44.0,14.0,1602978596.8213046,1602978596.8214061
154,2.0,45.0,42.0,1602978598.5149248,1602978598.5150847
155,2.0,46.0,0.0,1602978601.286361,1602978601.2864642
156,2.0,47.0,12.0,1602978603.039455,1602978603.039624
157,2.0,48.0,39.0,1602978604.7952385,1602978604.7953577
158,2.0,49.0,30.0,1602978606.5783846,1602978606.5785472
159,2.0,50.0,19.0,1602978608.3919744,1602978608.3921418
160,2.0,51.0,53.0,1602978611.101272,1602978611.1014464
161,2.0,52.0,35.0,1602978612.867854,1602978612.8680248
162,2.0,53.0,39.0,1602978614.5993826,1602978614.599547
163,2.0,54.0,36.0,1602978616.3754885,1602978616.375596
164,2.0,55.0,31.0,1602978619.0670154,1602978619.0671198
165,2.0,56.0,40.0,1602978620.8618336,1602978620.8619406
166,2.0,57.0,43.0,1602978622.6053565,1602978622.605517
167,2.0,58.0,22.0,1602978624.3383176,1602978624.338484
168,2.0,59.0,25.0,1602978627.0273318,1602978627.0274363
169,2.0,60.0,28.0,1602978628.7642891,1602978628.76446
170,2.0,61.0,40.0,1602978630.4393709,1602978630.4395585
171,2.0,62.0,47.0,1602978633.1860967,1602978633.1862183
172,2.0,63.0,31.0,1602978634.794617,1602978634.7947361
173,2.0,64.0,36.0,1602978636.472801,1602978636.4729161
174,2.0,65.0,34.0,1602978639.2082849,1602978639.2084527
175,2.0,66.0,0.0,1602978640.9645166,1602978640.9646876
176,2.0,67.0,0.0,1602978642.7113435,1602978642.7115102
177,2.0,68.0,10.0,1602978644.4358232,1602978644.435988
178,2.0,69.0,20.0,1602978647.1285753,1602978647.12874
179,2.0,70.0,11.0,1602978648.8544633,1602978648.8546321
180,2.0,71.0,0.0,1602978650.616297,1602978650.6164644
181,2.0,72.0,0.0,1602978652.3205357,1602978652.3207247
182,2.0,73.0,24.0,1602978655.02396,1602978655.0241282
183,2.0,74.0,10.0,1602978656.7539318,1602978656.7541091
184,2.0,75.0,32.0,1602978658.399287,1602978658.3994489
185,2.0,76.0,16.0,1602978661.0098994,1602978661.0100758
186,2.0,77.0,1.0,1602978662.7469635,1602978662.7471268
187,2.0,78.0,0.0,1602978664.4555387,1602978664.4557335
188,2.0,79.0,0.0,1602978667.1338806,1602978667.1340506
189,2.0,80.0,20.0,1602978668.8628428,1602978668.8629503
190,2.0,81.0,0.0,1602978670.6473799,1602978670.6475463
191,2.0,82.0,12.0,1602978672.448337,1602978672.4484546
192,2.0,83.0,0.0,1602978675.1628165,1602978675.162982
193,2.0,84.0,8.0,1602978676.9699013,1602978676.9700809
194,2.0,85.0,17.0,1602978678.644804,1602978678.6449678
195,2.0,86.0,0.0,1602978680.4918308,1602978680.4920168
196,2.0,87.0,0.0,1602978683.1827092,1602978683.1828694
197,2.0,88.0,0.0,1602978684.8877757,1602978684.8879433
198,2.0,89.0,0.0,1602978686.6490262,1602978686.6491854
199,2.0,90.0,3.0,1602978688.3978462,1602978688.3980281
200,2.0,91.0,0.0,1602978691.133411,1602978691.1335747
201,2.0,92.0,0.0,1602978692.7666101,1602978692.7667773
202,2.0,93.0,6.0,1602978694.5316288,1602978694.5317311
203,2.0,94.0,62.0,1602978697.1632226,1602978697.1633296
204,2.0,95.0,27.0,1602978698.8802962,1602978698.8803985
205,2.0,96.0,0.0,1602978700.6871033,1602978700.6872594
206,2.0,97.0,0.0,1602978702.4351249,1602978702.4352307
207,2.0,98.0,32.0,1602978705.1235728,1602978705.1237373
208,2.0,99.0,0.0,1602978706.8812883,1602978706.881453
209,2.0,100.0,24.0,1602978708.669901,1602978708.6700916
210,2.0,101.0,0.0,1602978710.3801472,1602978710.3802497
211,2.0,102.0,9.0,1602978713.038476,1602978713.03864
212,2.0,103.0,32.0,1602978714.761138,1602978714.7613094
213,2.0,104.0,58.0,1602978716.504907,1602978716.5050821
214,2.0,105.0,43.0,1602978719.182961,1602978719.1830635
215,2.0,106.0,34.0,1602978720.9648325,1602978720.9650164
216,2.0,107.0,100.0,1602978722.708948,1602978722.7091131
217,2.0,108.0,70.0,1602978724.3133461,1602978724.3135304
218,2.0,109.0,52.0,1602978726.8913863,1602978726.8914897
219,2.0,110.0,2.0,1602978728.4749954,1602978728.4752762
220,2.0,111.0,0.0,1602978731.1289907,1602978731.1291783
221,2.0,112.0,0.0,1602978732.7197132,1602978732.7199051
222,2.0,113.0,77.0,1602978734.4700646,1602978734.4702475
223,2.0,114.0,33.0,1602978737.188564,1602978737.188732
224,2.0,115.0,37.0,1602978738.8789854,1602978738.8791473
225,2.0,116.0,7.0,1602978740.6559148,1602978740.6561186
226,2.0,117.0,17.0,1602978742.3452702,1602978742.345441
227,2.0,118.0,0.0,1602978745.1271913,1602978745.127374
228,2.0,119.0,19.0,1602978746.799833,1602978746.8000069
229,2.0,120.0,68.0,1602978748.4864585,1602978748.4866414
230,2.0,121.0,57.0,1602978751.1118145,1602978751.1119847
231,2.0,122.0,32.0,1602978752.788608,1602978752.7887871
232,2.0,123.0,23.0,1602978754.5436556,1602978754.5438795
233,2.0,124.0,54.0,1602978757.1944096,1602978757.1946032
234,2.0,125.0,64.0,1602978758.8531222,1602978758.8532267
235,2.0,126.0,64.0,1602978760.5930803,1602978760.5932643
236,2.0,127.0,13.0,1602978762.3306835,1602978762.3308585
237,2.0,128.0,1.0,1602978765.0147526,1602978765.014956
238,2.0,129.0,28.0,1602978766.7415054,1602978766.7416785
239,2.0,130.0,15.0,1602978768.5127382,1602978768.5129416
240,2.0,131.0,37.0,1602978771.2928884,1602978771.293069
241,2.0,132.0,0.0,1602978773.0832512,1602978773.0834608
242,2.0,133.0,0.0,1602978774.7636535,1602978774.763817
243,2.0,134.0,30.0,1602978776.5317657,1602978776.5319433
244,2.0,135.0,38.0,1602978779.2401502,1602978779.2403271
245,2.0,136.0,33.0,1602978781.1123056,1602978781.1125255
246,2.0,137.0,0.0,1602978782.8915057,1602978782.8916693
247,2.0,138.0,0.0,1602978784.635075,1602978784.6352518
248,2.0,139.0,14.0,1602978786.3972974,1602978786.3973997
249,2.0,140.0,41.0,1602978789.075266,1602978789.0754435
250,2.0,141.0,55.0,1602978790.726061,1602978790.7262425
251,2.0,142.0,26.0,1602978792.4861526,1602978792.4863362
252,2.0,143.0,13.0,1602978795.2512207,1602978795.251389
253,2.0,144.0,18.0,1602978796.9729805,1602978796.9731793
254,2.0,145.0,47.0,1602978798.7111745,1602978798.711348
255,2.0,146.0,24.0,1602978800.3509252,1602978800.3511045
256,2.0,147.0,7.0,1602978803.0504212,1602978803.050594
257,2.0,148.0,0.0,1602978804.7846808,1602978804.784794
258,2.0,149.0,18.0,1602978806.4918573,1602978806.4919617
259,2.0,150.0,2.0,1602978809.2456083,1602978809.2458005
260,2.0,151.0,0.0,1602978810.9500585,1602978810.9501722
261,2.0,152.0,28.0,1602978812.843661,1602978812.8438594
262,2.0,153.0,59.0,1602978814.6350143,1602978814.635185
263,2.0,154.0,0.0,1602978816.3466322,1602978816.3468297
264,2.0,155.0,25.0,1602978819.0552838,1602978819.0554483
265,2.0,156.0,11.0,1602978820.8004868,1602978820.800687
266,2.0,157.0,0.0,1602978822.5431957,1602978822.5433676
267,2.0,158.0,4.0,1602978825.1742296,1602978825.1744058
268,2.0,159.0,0.0,1602978826.8917937,1602978826.8919566
269,2.0,160.0,0.0,1602978828.718593,1602978828.7187085
270,2.0,161.0,0.0,1602978830.4619288,1602978830.4620347
271,2.0,162.0,19.0,1602978833.1487496,1602978833.1489277
272,2.0,163.0,19.0,1602978834.9367545,1602978834.9368606
273,2.0,164.0,19.0,1602978836.6749399,1602978836.6751232
274,2.0,165.0,0.0,1602978838.4127555,1602978838.412923
275,2.0,166.0,0.0,1602978841.092819,1602978841.0930383
276,2.0,167.0,0.0,1602978842.8163116,1602978842.816414
277,2.0,168.0,7.0,1602978844.5447679,1602978844.5449681
278,2.0,169.0,0.0,1602978847.192618,1602978847.192783
279,2.0,170.0,12.0,1602978848.8585932,1602978848.85877
280,2.0,171.0,35.0,1602978850.591698,1602978850.5918038
281,2.0,172.0,32.0,1602978852.391002,1602978852.39118
282,2.0,173.0,21.0,1602978855.0221937,1602978855.022299
283,2.0,174.0,15.0,1602978856.775036,1602978856.7752156
284,2.0,175.0,69.0,1602978858.4914706,1602978858.4916403
285,2.0,176.0,25.0,1602978861.214083,1602978861.2142785
286,2.0,177.0,0.0,1602978862.8684957,1602978862.8686638
287,2.0,178.0,0.0,1602978864.629003,1602978864.6292384
288,2.0,179.0,0.0,1602978866.27062,1602978866.2707965
289,2.0,180.0,0.0,1602978869.0141525,1602978869.0143363
290,2.0,181.0,0.0,1602978870.6786876,1602978870.6788552
291,2.0,182.0,1.0,1602978872.4108994,1602978872.4110699
292,2.0,183.0,0.0,1602978875.1912916,1602978875.1914556
293,2.0,184.0,0.0,1602978876.8169732,1602978876.8171692
294,2.0,185.0,8.0,1602978878.5531645,1602978878.553333
295,2.0,186.0,10.0,1602978881.302769,1602978881.3029768
296,2.0,187.0,0.0,1602978883.0593896,1602978883.059557
297,2.0,188.0,26.0,1602978884.674983,1602978884.6751654
298,2.0,189.0,40.0,1602978886.340743,1602978886.3408465
299,2.0,190.0,0.0,1602978889.1307995,1602978889.130972
300,2.0,191.0,6.0,1602978890.857788,1602978890.8578923
301,2.0,192.0,61.0,1602978892.595602,1602978892.5957716
302,2.0,193.0,0.0,1602978894.3218067,1602978894.3219957
303,2.0,194.0,0.0,1602978896.9698455,1602978896.9700334
304,2.0,195.0,0.0,1602978898.6527936,1602978898.6528957
305,2.0,196.0,19.0,1602978900.3921132,1602978900.3922765
306,2.0,197.0,0.0,1602978903.0716937,1602978903.071797
307,2.0,198.0,7.0,1602978904.8084354,1602978904.8086085
308,2.0,199.0,0.0,1602978906.5291495,1602978906.5292535
309,2.0,200.0,0.0,1602978909.2143826,1602978909.2145867
310,2.0,201.0,0.0,1602978910.9323735,1602978910.9325414
311,2.0,202.0,0.0,1602978912.6532874,1602978912.65347
312,2.0,203.0,0.0,1602978914.3545144,1602978914.354686
313,2.0,204.0,0.0,1602978916.939955,1602978916.9401486
314,2.0,205.0,14.0,1602978918.6053448,1602978918.6055255
315,2.0,206.0,0.0,1602978920.3380175,1602978920.3381855
316,2.0,207.0,0.0,1602978922.9882243,1602978922.988394
317,2.0,208.0,2.0,1602978924.7400653,1602978924.7402713
318,2.0,209.0,6.0,1602978926.4482296,1602978926.4484153
319,2.0,210.0,0.0,1602978929.0983481,1602978929.098688
320,2.0,211.0,6.0,1602978930.8476784,1602978930.8478458
321,2.0,212.0,24.0,1602978932.527304,1602978932.5274668
322,2.0,213.0,27.0,1602978935.291364,1602978935.2915287
323,2.0,214.0,18.0,1602978937.0257058,1602978937.0258708
324,2.0,215.0,47.0,1602978938.7484255,1602978938.748592
325,2.0,216.0,45.0,1602978940.5803835,1602978940.5805476
326,2.0,217.0,27.0,1602978942.19013,1602978942.1902323
327,2.0,218.0,7.0,1602978944.8882198,1602978944.8883228
328,2.0,219.0,39.0,1602978946.6043491,1602978946.6045077
329,2.0,220.0,0.0,1602978948.260917,1602978948.261082
